Anglican Nonconformist
coherent incoherent
coherently incoherently
coil uncoil
coiled uncoiled
cold hot
cold-blooded warm-blooded
cold_war hot_war
coldhearted warmhearted
coldness hotness
collapse burst
collapse demolish
collapsible noncollapsible
collateral lineal
collected uncollected
collective distributive
collide ram
colonise decolonise
colonize decolonize
color black-and-white
color colorlessness
color discolor
colored uncolored
colorful colorless
colorless colorful
colorlessness color
colourful colourless
colourless colourful
columned noncolumned
combed uncombed
combinative noncombinative
combined uncombined
combustible noncombustible
come go
come_in go_out
comedy tragedy
comfort discomfort
comfortable uncomfortable
comfortably uncomfortably
commence accelerate
commence cease
commence suspend
commend criticize
commensurate incommensurate
comment insist
commercial noncommercial
commissioned noncommissioned
committed uncommitted
commodious incommodious
common individual
common uncommon
common_noun proper_noun
commonality individuality
commonness uncommonness
communicate comprehend
communicate excommunicate
communicative uncommunicative
communicativeness uncommunicativeness
commutable incommutable
commute overturn
commute reverse
compact loose
comparable incomparable
comparably incomparably
compartmented uncompartmented
compassionate uncompassionate
compatibility incompatibility
compatible incompatible
compatibly incompatibly
competence incompetence
competent incompetent
competently incompetently
competition cooperation
competitive noncompetitive
competitively noncompetitively
complain cheer
complaining uncomplaining
complainingly uncomplainingly
complement mirror
complete incomplete
completeness incompleteness
complex simple
complex_instruction_set_computer reduced_instruction_set_computer
complex_instruction_set_computing reduced_instruction_set_computing
complexity simplicity
compliance noncompliance
compliant defiant
complicate simplify
complimentary uncomplimentary
composed discomposed
composure discomposure
compound diminish
compound simple
comprehend communicate
comprehensibility incomprehensibility
comprehensible incomprehensible
comprehension incomprehension
comprehensive noncomprehensive
comprehensively noncomprehensively
compress decompress
compressibility incompressibility
compressible incompressible
compression decompression
compromise reinforce
compromise safeguard
compromising uncompromising
con pro
concave convex
concave_polygon convex_polygon
concavely convexly
conceal acknowledge
conceal disclose
conceal reveal
concealed unconcealed
concealing revealing
concede argue
concede cite
concede claim
concede contest
concede deny
concede ignore
concede lose
concede relinquish
conceit humility
concentrate deconcentrate
concentrated distributed
concentration dilution
concentration distribution
concentric eccentric
concentricity eccentricity
conception misconception
concern highlight
concern unconcern
concerned unconcerned
conciliatory antagonistic
concise prolix
conclude begin
conclusive inconclusive
conclusively inconclusively
conclusiveness inconclusiveness
concrete abstract
concretely abstractly
concreteness abstractness
condemn authorize
condemn back
condemn hail
condemn justify
condemn support
condemn tolerate
condemn urge
condemn welcome
condition freeze
conditional unconditional
conditionally unconditionally
conditioned unconditioned
conductive nonconductive
conductor insulator
confer guarantee
confess deny
confess kill
confidence diffidence
confident diffident
confine free
confined invasive
confined unconfined
confirm condemn
confirm contradict
confirm deny
confirm dismiss
confirm dispute
confirm refute
confirm reject
confirmed unconfirmed
confiscate retrieve
conform deviate
conform_to violate
conformism nonconformism
conformist nonconformist
conformity nonconformity
confront avoid
confront fear
confront ignore
confuse exaggerate
confuse ignore
confused clearheaded
congenial uncongenial
congeniality uncongeniality
congratulate criticize
congratulate inform
congratulate warn
congruent incongruent
congruity incongruity
congruous incongruous
congruousness incongruousness
conjunct disjunct
conjunctive disjunctive
connate adnate
connect disconnect
connected unconnected
connectedness disconnectedness
connectedness unconnectedness
connotative denotative
conquerable unconquerable
consanguinity affinity
conscientious unconscientious
conscientiousness unconscientiousness
conscious unconscious
consciously unconsciously
consciousness unconsciousness
consecrate desecrate
consecrated desecrated
consequence inconsequence
consequentially inconsequentially
conservative liberal
conserve consume
conserve waste
consider oppose
considerable inconsiderable
considerate inconsiderate
considerately inconsiderately
consideration inconsideration
consistency inconsistency
consistent inconsistent
consistently inconsistently
consolable inconsolable
consonant vowel
consonantal vocalic
conspicuous inconspicuous
conspicuously inconspicuously
conspicuousness inconspicuousness
constancy inconstancy
constant inconstant
constipated unconstipated
constitute trigger
constitutional unconstitutional
constitutionally unconstitutionally
constrain hinder
constrain spur
constrain stimulate
constrict dilate
constricted unconstricted
construction misconstruction
constructive destructive
constructiveness destructiveness
consult audit
consume abstain
consume conserve
consume export
consume hoard
consummated unconsummated
consumptive generative
contain leak
contaminate decontaminate
contaminated uncontaminated
contamination decontamination
contemplate fear
contemptible estimable
contend allege
content discontent
contented discontented
contentment discontentment
contest accept
contest boycott
contest concede
contestable incontestable
contested uncontested
continent incontinent
continental intercontinental
continual sporadic
continuance discontinuance
continuant_consonant stop_consonant
continuation discontinuation
continue begin
continue cease
continue discontinue
continue end
continue halt
continue initiate
continue start
continue stop
continue suspend
continued discontinued
continuity discontinuity
continuous discontinuous
contract expand
contract grow
contract_in contract_out
contract_out contract_in
contracted expanded
contraction expansion
contradict affirm
contradict bolster
contradict clarify
contradict confirm
contradict corroborate
contradict echo
contradict justify
contradict reaffirm
contradict reinforce
contradict substantiate
contradict validate
contraindicate indicate
contraindication indication
contralateral ipsilateral
contrast echo
contrast repeat
contrasty flat
contravene undermine
controlled uncontrolled
controversial uncontroversial
controversially uncontroversially
convene postpone
convenience inconvenience
convenient inconvenient
conveniently inconveniently
conventional nuclear
conventional unconventional
conventionality unconventionality
conventionally unconventionally
converge diverge
convergence divergence
convergency divergency
convergent divergent
convergent_thinking divergent_thinking
convertibility inconvertibility
convertible inconvertible
convex concave
convex_polygon concave_polygon
convexly concavely
convict acquit
convict exonerate
convict free
convict murder
convict suspect
conviction acquittal
convince dissuade
convinced unconvinced
convincing unconvincing
convincingly unconvincingly
cooked raw
cooking_apple eating_apple
cool fuel
cool heat
cool warm
cooperation competition
cooperative uncooperative
coordinating subordinating
coordination incoordination
cork uncork
corporeal incorporeal
corporeality incorporeality
corpuscular_theory wave_theory
corpuscular_theory_of_light wave_theory_of_light
correct delete
correct falsify
correct incorrect
corrected uncorrected
correctly incorrectly
correctness incorrectness
corrigible incorrigible
corroborate contradict
corroborate disprove
corroborate dispute
corroborate rebut
corrupt incorrupt
corruptibility incorruptibility
corruptness incorruptness
cortex medulla
cosmopolitan endemic
cosmopolitan provincial
costive laxative
countenance condone
counter reinforce
counteract avert
counterclockwise clockwise
counterfactuality factuality
counterfeit genuine
counterrevolutionary revolutionary
couple uncouple
courage cowardice
court shun
courteous discourteous
courteously discourteously
courtesy discourtesy
cousinly uncousinly
cover uncover
covered bare
covert overt
covertly overtly
cowardice courage
cowardly brave
crack smack
crannied uncrannied
crash flight
crash fly
crate uncrate
crave eat
crave find
crave prefer
creative uncreative
creativeness uncreativeness
credibility incredibility
credible incredible
credibly incredibly
credit cash
credit debit
credit fault
creditor debtor
credulous incredulous
credulously incredulously
cremate incinerate
crescendo decrescendo
criminalisation decriminalisation
criminalise decriminalise
criminalization decriminalization
criminalize decriminalize
criminalize legalize
cripple spur
critical noncritical
critical uncritical
critically uncritically
criticise commend
criticise criticize
criticize applaud
criticize defend
criticize endorse
criticize praise
criticize support
crooked straight
crookedness straightness
cross circle
cross patrol
cross uncross
cross-eyed walleyed
cross-fertilization self-fertilization
cross-pollination self-pollination
crossbred purebred
crossed uncrossed
crosswise lengthwise
crowd line
crowded uncrowded
crowned uncrowned
crucial noncrucial
cruise fly
crush slice
cry breastfeed
cry clap
cry dye
cry laugh
cry scream
cry wait
crystalline noncrystalline
crystallized uncrystallized
cube grate
cube grind
cube mash
cube mince
cube shred
cube slice
cubic linear
cubic planar
cultivated uncultivated
cultivated_plant weed
curability incurability
